UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,delta_Temp,omega,power,power_kW,wear_x_torque,pct_tool_life,rpm_x_torque,torque_sq,log_torque
20,M14879,M,298.9,309.3,1632.0,32.5,55,0,0,0,0,0,0,10.400000000000034,170.90264035528475,5554.3358115467545,5.554335811546754,1787.5,0.25,53040.0,1056.25,3.5115454388310208
21,H29434,H,298.9,309.3,1375.0,42.7,58,0,0,0,0,0,0,10.400000000000034,143.98966328953216,6148.3586224630235,6.148358622463023,2476.6000000000004,0.2636363636363636,58712.50000000001,1823.2900000000002,3.7773481021015445
22,L47201,L,298.8,309.3,1450.0,44.8,63,0,0,0,0,0,0,10.5,151.84364492350667,6802.595292573099,6.802595292573099,2822.3999999999996,0.2863636363636364,64959.99999999999,2007.0399999999997,3.8242840911201395
23,M14882,M,298.9,309.3,1581.0,30.7,65,0,0,0,0,0,0,10.400000000000034,165.5619328441821,5082.7513383163905,5.082751338316391,1995.5,0.29545454545454547,48536.7,942.49,3.456316680883235
24,L47203,L,299.0,309.4,1758.0,25.7,68,0,0,0,0,0,0,10.399999999999977,184.09732950036187,4731.3013681593,4.731301368159301,1747.6,0.3090909090909091,45180.6,660.49,3.2846635654062037
25,M14884,M,299.0,309.4,1561.0,37.3,70,0,0,0,0,0,0,10.399999999999977,163.4675377417889,6097.339157768725,6.097339157768725,2611.0,0.3181818181818182,58225.299999999996,1391.2899999999997,3.6454498961866
26,L47205,L,299.0,309.5,1861.0,23.3,73,0,0,0,0,0,0,10.5,194.88346427768684,4540.784717670103,4.540784717670103,1700.9,0.33181818181818185,43361.3,542.89,3.190476350346503
27,L47206,L,299.1,309.5,1512.0,39.0,75,0,0,0,0,0,0,10.399999999999977,158.3362697409256,6175.114519896098,6.1751145198960975,2925.0,0.3409090909090909,58968.0,1521.0,3.6888794541139363
28,H29441,H,299.1,309.4,1811.0,24.6,77,0,0,0,0,0,0,10.299999999999955,189.64747652170385,4665.327922433915,4.665327922433915,1894.2,0.35,44550.600000000006,605.1600000000001,3.242592351485517
29,L47208,L,299.1,309.4,1439.0,44.2,82,0,0,0,0,0,0,10.299999999999955,150.6917276171904,6660.574360679816,6.660574360679816,3624.4,0.37272727272727274,63603.8,1953.6400000000003,3.8110970868381857
30,L47209,L,299.0,309.4,1693.0,30.1,84,0,0,0,0,0,0,10.399999999999977,177.29054541758398,5336.445417069278,5.336445417069278,2528.4,0.38181818181818183,50959.3,906.0100000000001,3.4372078191851885
31,M14890,M,299.1,309.5,1339.0,48.2,86,0,0,0,0,0,0,10.399999999999977,140.21975210522444,6758.592051471818,6.758592051471818,4145.2,0.39090909090909093,64539.8,2323.2400000000002,3.8958936234982624
32,L47211,L,299.0,309.4,1798.0,25.5,89,0,0,0,0,0,0,10.399999999999977,188.28611970514828,4801.296052481282,4.801296052481281,2269.5,0.40454545454545454,45849.0,650.25,3.2771447329921766
33,L47212,L,299.0,309.4,1419.0,48.3,91,0,0,0,0,0,0,10.399999999999977,148.59733251479722,7177.251160464705,7.177251160464706,4395.3,0.41363636363636364,68537.7,2332.89,3.8979240810486444
34,L47213,L,298.9,309.3,1665.0,32.5,93,0,0,0,0,0,0,10.400000000000034,174.35839227423352,5666.647748912589,5.666647748912589,3022.5,0.42272727272727273,54112.5,1056.25,3.5115454388310208
35,M14894,M,298.8,309.1,1559.0,34.7,95,0,0,0,0,0,0,10.300000000000011,163.25809823154958,5665.056008634771,5.665056008634771,3296.5000000000005,0.4318181818181818,54097.3,1204.0900000000001,3.5751506887855933
36,M14895,M,298.8,309.2,1452.0,48.6,98,0,0,0,0,0,0,10.399999999999977,152.053084433746,7389.7799034800555,7.389779903480055,4762.8,0.44545454545454544,70567.2,2361.96,3.903990833730882
37,M14896,M,298.9,309.2,1581.0,36.7,101,0,0,0,0,0,0,10.300000000000011,165.5619328441821,6076.122935381484,6.076122935381484,3706.7000000000003,0.4590909090909091,58022.700000000004,1346.89,3.629660094453965
38,L47217,L,298.8,309.1,1439.0,39.2,104,0,0,0,0,0,0,10.300000000000011,150.6917276171904,5907.115722593864,5.907115722593864,4076.8,0.4727272727272727,56408.8,1536.6400000000003,3.6938669956249752
39,H29452,H,298.9,309.2,1379.0,50.7,106,0,0,0,0,0,0,10.300000000000011,144.40854231001083,7321.51309511755,7.32151309511755,5374.200000000001,0.4818181818181818,69915.3,2570.4900000000002,3.9454577815143836
40,L47219,L,298.8,309.1,1350.0,52.5,111,0,0,0,0,0,0,10.300000000000011,141.3716694115407,7422.0126441058865,7.4220126441058865,5827.5,0.5045454545454545,70875.0,2756.25,3.979681653901961
41,L47220,L,298.8,309.1,1362.0,45.4,113,0,0,0,0,0,0,10.300000000000011,142.6283064729766,6475.325113873137,6.4753251138731365,5130.2,0.5136363636363637,61834.799999999996,2061.16,3.8372994592322094
42,L47221,L,298.8,309.1,1368.0,50.8,115,0,0,0,0,0,0,10.300000000000011,143.25662500369455,7277.436550187683,7.277436550187683,5842.0,0.5227272727272727,69494.4,2580.64,3.9473901492654373
43,M14902,M,298.8,309.1,1368.0,49.1,117,0,0,0,0,0,0,10.300000000000011,143.25662500369455,7033.900287681403,7.033900287681403,5744.7,0.5318181818181819,67168.8,2410.81,3.914021008090819
44,H29457,H,298.8,309.2,1372.0,48.5,120,0,0,0,0,0,0,10.399999999999977,143.67550402417322,6968.261945172401,6.968261945172402,5820.0,0.5454545454545454,66542.0,2352.25,3.9019726695746444
45,M14904,M,298.8,309.1,1472.0,47.5,125,0,0,0,0,0,0,10.300000000000011,154.14747953613917,7322.00527796661,7.3220052779666105,5937.5,0.5681818181818182,69920.0,2256.25,3.8815637979434374
46,L47225,L,298.8,309.1,1489.0,49.1,128,0,0,0,0,0,0,10.300000000000011,155.92771537317338,7656.050824822813,7.656050824822813,6284.8,0.5818181818181818,73109.90000000001,2410.81,3.914021008090819
47,M14906,M,298.7,309.0,1843.0,25.8,130,0,0,0,0,0,0,10.300000000000011,192.99850868553295,4979.36152408675,4.97936152408675,3354.0,0.5909090909090909,47549.4,665.64,3.288401887516811
48,L47227,L,298.8,309.1,1418.0,46.3,133,0,0,0,0,0,0,10.300000000000011,148.49261275967757,6875.207970773071,6.87520797077307,6157.9,0.6045454545454545,65653.4,2143.6899999999996,3.856510295497887
49,H29462,H,298.8,309.2,1425.0,53.9,135,0,0,0,0,0,0,10.399999999999977,149.22565104551515,8043.2625913532665,8.043262591353267,7276.5,0.6136363636363636,76807.5,2905.21,4.005513348515485
50,M14909,M,298.9,309.2,1412.0,44.1,140,0,0,0,0,0,0,10.300000000000011,147.8642942289596,6520.815375497119,6.520815375497119,6174.0,0.6363636363636364,62269.200000000004,1944.8100000000002,3.8088822465086327
51,L47230,L,298.9,309.1,1895.5,12.800000000000011,143,1,0,0,1,0,0,10.200000000000045,198.49629582931507,2540.752586615235,2.540752586615235,1830.4000000000017,0.65,24262.400000000023,163.8400000000003,2.62466859216316
52,L47231,L,298.9,309.1,1383.0,54.9,145,0,0,0,0,0,0,10.200000000000045,144.82742133048947,7951.025431043872,7.951025431043872,7960.5,0.6590909090909091,75926.7,3014.0099999999998,4.023564380161053
53,H29466,H,298.8,309.0,1497.0,43.8,147,0,0,0,0,0,0,10.199999999999989,156.76547341413067,6866.327735538923,6.866327735538923,6438.599999999999,0.6681818181818182,65568.59999999999,1918.4399999999998,3.8022081394209395
54,L47233,L,298.7,309.0,1565.0,35.1,152,0,0,0,0,0,0,10.300000000000011,163.88641676226752,5752.41322835559,5.75241322835559,5335.2,0.6909090909090909,54931.5,1232.01,3.586292865338835
55,L47234,L,298.7,309.0,1691.0,30.1,154,0,0,0,0,0,0,10.300000000000011,177.0811059073447,5330.141287811076,5.330141287811076,4635.400000000001,0.7,50899.100000000006,906.0100000000001,3.4372078191851885
56,L47235,L,298.8,309.1,1512.0,40.7,156,0,0,0,0,0,0,10.300000000000011,158.3362697409256,6444.286178455672,6.4442861784556715,6349.200000000001,0.7090909090909091,61538.4,1656.4900000000002,3.7305011288047556
57,L47236,L,298.8,309.1,1477.0,42.4,158,0,0,0,0,0,0,10.300000000000011,154.67107831173746,6558.053720417668,6.558053720417668,6699.2,0.7181818181818181,62624.799999999996,1797.76,3.770459441106359
58,L47237,L,298.8,309.1,1513.0,40.3,160,0,0,0,0,0,0,10.300000000000011,158.44098949604523,6385.171876690622,6.385171876690622,6448.0,0.7272727272727273,60973.899999999994,1624.0899999999997,3.720862499966987
59,M14918,M,298.8,309.0,1661.0,29.5,162,0,0,0,0,0,0,10.199999999999989,173.93951325375488,5131.215640985769,5.1312156409857685,4779.0,0.7363636363636363,48999.5,870.25,3.417726683613366
60,L47239,L,298.8,309.1,1378.0,54.4,165,0,0,0,0,0,0,10.300000000000011,144.30382255489116,7850.127946986078,7.8501279469860785,8976.0,0.75,74963.2,2959.3599999999997,4.014579593753238
61,L47240,L,298.8,309.1,1393.0,52.6,167,0,0,0,0,0,0,10.300000000000011,145.87461888168608,7673.004953176688,7.673004953176688,8784.2,0.759090909090909,73271.8,2766.76,3.9815490680767565
62,M14921,M,298.8,309.0,1592.0,38.2,169,0,0,0,0,0,0,10.199999999999989,166.71385015049836,6368.469075749038,6.368469075749038,6455.8,0.7681818181818182,60814.4,1459.2400000000002,3.6686767467964168
63,L47242,L,298.8,309.0,1829.0,22.9,172,0,0,0,0,0,0,10.199999999999989,191.53243211385774,4386.092695407342,4.386092695407342,3938.7999999999997,0.7818181818181819,41884.1,524.41,3.173878458937465
64,M14923,M,298.9,309.0,1812.0,25.9,174,0,0,0,0,0,0,10.100000000000023,189.75219627682353,4914.581883569729,4.9145818835697295,4506.599999999999,0.7909090909090909,46930.799999999996,670.81,3.292126286607793
65,L47244,L,299.0,309.1,1523.0,38.6,177,0,0,0,0,0,0,10.100000000000023,159.48818704724184,6156.244020023535,6.156244020023535,6832.2,0.8045454545454546,58787.8,1489.96,3.6788291182604347
66,L47245,L,299.0,309.1,1394.0,45.1,179,0,0,0,0,0,0,10.100000000000023,145.97933863680572,6583.668172519938,6.583668172519938,8072.900000000001,0.8136363636363636,62869.4,2034.0100000000002,3.8308129500026027
67,M14926,M,298.9,308.9,1679.0,28.7,181,0,0,0,0,0,0,10.0,175.82446884590874,5046.162255877581,5.046162255877581,5194.7,0.8227272727272728,48187.299999999996,823.6899999999999,3.391147045808654
68,H29481,H,298.8,308.9,1466.0,44.1,184,0,0,0,0,0,0,10.099999999999966,153.5191610054212,6770.195000339076,6.770195000339076,8114.400000000001,0.8363636363636363,64650.6,1944.8100000000002,3.8088822465086327
69,L47248,L,298.8,308.9,1527.0,32.4,189,0,0,0,0,0,0,10.099999999999966,159.90706606772045,5180.988940594142,5.180988940594142,6123.599999999999,0.8590909090909091,49474.799999999996,1049.76,3.5085558999826545
70,L47249,L,298.9,309.0,1410.0,65.7,191,1,0,0,1,1,0,10.100000000000023,147.6548547187203,9700.923955019924,9.700923955019924,12548.7,0.8681818181818182,92637.0,4316.490000000001,4.200204952921578
71,M14930,M,298.9,309.0,1895.5,22.6,193,0,0,0,0,0,0,10.100000000000023,198.49629582931507,4486.016285742521,4.486016285742521,4361.8,0.8772727272727273,42838.3,510.76000000000005,3.1612467120315646
72,L47251,L,298.9,309.1,1452.0,45.5,196,0,0,0,0,0,0,10.200000000000045,152.053084433746,6918.415341735443,6.918415341735443,8918.0,0.8909090909090909,66066.0,2070.25,3.839452312593311
73,L47252,L,298.9,309.1,1369.0,44.4,198,0,0,0,0,0,0,10.200000000000045,143.36134475881423,6365.243707291352,6.365243707291352,8791.199999999999,0.9,60783.6,1971.36,3.8155121050473024
74,L47253,L,299.0,309.1,1592.0,35.0,200,0,0,0,0,0,0,10.100000000000023,166.71385015049836,5834.984755267443,5.834984755267443,7000.0,0.9090909090909091,55720.0,1225.0,3.58351893845611
75,L47254,L,298.9,309.0,1601.0,32.3,202,0,0,0,0,0,0,10.100000000000023,167.6563279465753,5415.299392674381,5.415299392674381,6524.599999999999,0.9181818181818182,51712.299999999996,1043.2899999999997,3.505557396986398
76,L47255,L,298.8,308.9,1379.0,46.7,204,0,0,0,0,0,0,10.099999999999966,144.40854231001083,6743.878925877506,6.743878925877506,9526.800000000001,0.9272727272727272,64399.3,2180.8900000000003,3.8649313978942956
77,L47256,L,298.8,308.9,1461.0,47.9,206,0,0,0,0,0,0,10.099999999999966,152.99556222982292,7328.487430808518,7.328487430808519,9867.4,0.9363636363636364,69981.9,2294.41,3.8897773964808264
78,L47257,L,298.8,308.9,1455.0,41.3,208,1,1,0,0,0,0,10.099999999999966,152.36724369910496,6292.767164773035,6.292767164773035,8590.4,0.9454545454545454,60091.49999999999,1705.6899999999998,3.744787086052232
79,L47258,L,298.8,308.9,1398.0,51.5,0,0,0,0,0,0,0,10.099999999999966,146.39821765728436,7539.508209350145,7.539508209350145,0.0,0.0,71997.0,2652.25,3.960813169597578
80,L47259,L,298.8,308.9,1402.0,37.9,2,0,0,0,0,0,0,10.099999999999966,146.817096677763,5564.367964087218,5.564367964087218,75.8,0.00909090909090909,53135.799999999996,1436.4099999999999,3.6609942506244004
81,H29494,H,298.8,308.8,1445.0,49.9,4,0,0,0,0,0,0,10.0,151.32004614790836,7550.870302780627,7.550870302780627,199.6,0.01818181818181818,72105.5,2490.0099999999998,3.929862923556477
82,L47261,L,298.9,308.9,1450.0,47.5,9,0,0,0,0,0,0,10.0,151.84364492350667,7212.573133866567,7.2125731338665675,427.5,0.04090909090909091,68875.0,2256.25,3.8815637979434374
83,L47262,L,298.9,308.9,1453.0,40.8,11,0,0,0,0,0,0,10.0,152.15780418886564,6208.038410905718,6.208038410905718,448.79999999999995,0.05,59282.399999999994,1664.6399999999999,3.7328963395307104
84,L47263,L,299.0,309.0,1469.0,40.1,13,0,0,0,0,0,0,10.0,153.8333202707802,6168.716142858287,6.168716142858287,521.3000000000001,0.05909090909090909,58906.9,1608.0100000000002,3.716008121502189
85,L47264,L,298.9,308.9,1422.0,47.6,15,0,0,0,0,0,0,10.0,148.91149178015618,7088.187008735435,7.088187008735434,714.0,0.06818181818181818,67687.2,2265.76,3.883623530906448
86,M14945,M,299.0,309.0,1804.0,26.8,17,0,0,0,0,0,0,10.0,188.91443823586624,5062.906944721215,5.062906944721215,455.6,0.07727272727272727,48347.200000000004,718.24,3.3250360206965914
87,H29500,H,299.0,309.0,1436.0,43.9,20,0,0,0,0,0,0,10.0,150.37756835183143,6601.575250645399,6.601575250645399,878.0,0.09090909090909091,63040.4,1927.2099999999998,3.8044377947482086
88,L47267,L,299.0,309.0,1544.0,31.8,25,0,0,0,0,0,0,10.0,161.6873019047547,5141.656200571199,5.141656200571199,795.0,0.11363636363636363,49099.200000000004,1011.24,3.4904285153900982
89,M14948,M,299.0,309.0,1419.0,45.2,27,0,0,0,0,0,0,10.0,148.59733251479722,6716.599429668835,6.716599429668835,1220.4,0.12272727272727273,64138.8,2043.0400000000002,3.832979798087693
90,M14949,M,298.9,308.9,1487.0,39.5,30,0,0,0,0,0,0,10.0,155.7182758629341,6150.871896585897,6.150871896585897,1185.0,0.13636363636363635,58736.5,1560.25,3.7013019741124933
91,L47270,L,298.9,308.9,1753.0,25.8,33,0,0,0,0,0,0,10.0,183.57373072476358,4736.2022526989,4.7362022526989005,851.4,0.15,45227.4,665.64,3.288401887516811
92,L47271,L,298.9,308.9,1830.0,24.9,35,0,0,0,0,0,0,10.0,191.63715186897738,4771.765081537536,4.771765081537536,871.5,0.1590909090909091,45567.0,620.0099999999999,3.254242968705492
93,M14952,M,298.9,308.9,1727.0,27.1,37,0,0,0,0,0,0,10.0,180.85101709165244,4901.062563183781,4.901062563183781,1002.7,0.16818181818181818,46801.700000000004,734.4100000000001,3.3357695763397
94,L47273,L,299.1,309.0,1450.0,43.0,40,0,0,0,0,0,0,9.899999999999977,151.84364492350667,6529.276731710787,6.529276731710787,1720.0,0.18181818181818182,62350.0,1849.0,3.784189633918261
95,L47274,L,299.0,308.9,1622.0,31.9,42,0,0,0,0,0,0,9.899999999999977,169.85544280408814,5418.388625450411,5.418388625450412,1339.8,0.19090909090909092,51741.799999999996,1017.6099999999999,3.493472657771326
96,M14955,M,299.0,309.0,1351.0,52.2,44,0,0,0,0,0,0,10.0,141.47638916666034,7385.06751449967,7.385067514499671,2296.8,0.2,70522.2,2724.84,3.9740583963475986
97,M14956,M,299.0,309.0,1575.0,35.3,47,0,0,0,0,0,0,10.0,164.93361431346415,5822.156585265284,5.822156585265284,1659.1,0.21363636363636362,55597.49999999999,1246.0899999999997,3.591817741270805
98,M14957,M,298.9,308.9,1750.0,29.9,50,0,0,0,0,0,0,10.0,183.25957145940458,5479.4611866361965,5.479461186636197,1495.0,0.22727272727272727,52325.0,894.0099999999999,3.4307561839036995
99,L47278,L,298.9,308.8,1529.0,32.7,53,0,0,0,0,0,0,9.900000000000034,160.1165055779598,5235.809732399286,5.235809732399286,1733.1000000000001,0.2409090909090909,49998.3,1069.2900000000002,3.517497837358316
100,L47279,L,298.8,308.8,1523.0,44.4,55,0,0,0,0,0,0,10.0,159.48818704724184,7081.275504897538,7.081275504897538,2442.0,0.25,67621.2,1971.36,3.8155121050473024
101,L47280,L,298.8,308.9,1852.0,25.0,57,0,0,0,0,0,0,10.099999999999966,193.94098648160988,4848.524662040247,4.848524662040247,1425.0,0.2590909090909091,46300.0,625.0,3.258096538021482
102,L47281,L,298.8,308.8,1895.5,20.7,59,0,0,0,0,0,0,10.0,198.49629582931507,4108.873323666822,4.108873323666822,1221.3,0.2681818181818182,39236.85,428.48999999999995,3.077312260546414
103,L47282,L,298.8,308.8,1555.0,40.6,61,0,0,0,0,0,0,10.0,162.83921921107094,6611.272299969481,6.611272299969481,2476.6,0.2772727272727273,63133.0,1648.3600000000001,3.728100167267218
104,M14963,M,298.8,308.8,1441.0,40.5,63,0,0,0,0,0,0,10.0,150.90116712742974,6111.497268660904,6.111497268660904,2551.5,0.2863636363636364,58360.5,1640.25,3.725693427236653
105,L47284,L,298.8,308.7,1450.0,43.4,66,0,0,0,0,0,0,9.899999999999977,151.84364492350667,6590.01418968019,6.59001418968019,2864.4,0.3,62930.0,1883.56,3.793239469438179
106,L47285,L,298.8,308.7,1591.0,31.1,68,0,0,0,0,0,0,9.899999999999977,166.60913039537868,5181.543955296277,5.181543955296277,2114.8,0.3090909090909091,49480.100000000006,967.21,3.4688560301359703
107,L47286,L,298.8,308.7,1445.0,48.5,70,0,0,0,0,0,0,9.899999999999977,151.32004614790836,7339.022238173556,7.3390222381735555,3395.0,0.3181818181818182,70082.5,2352.25,3.9019726695746444
108,M14967,M,298.8,308.8,1497.0,46.8,72,0,0,0,0,0,0,10.0,156.76547341413067,7336.624155781315,7.3366241557813145,3369.6,0.32727272727272727,70059.59999999999,2190.24,3.86702563949741
109,H29522,H,298.9,308.8,1621.0,32.7,75,0,0,0,0,0,0,9.900000000000034,169.7507230489685,5550.848643701271,5.55084864370127,2452.5,0.3409090909090909,53006.700000000004,1069.2900000000002,3.517497837358316
110,L47289,L,298.9,308.7,1572.0,34.1,80,0,0,0,0,0,0,9.800000000000011,164.61945504810515,5613.523417140386,5.613523417140386,2728.0,0.36363636363636365,53605.200000000004,1162.8100000000002,3.55820113047182
111,L47290,L,298.8,308.6,1872.0,22.5,82,0,0,0,0,0,0,9.800000000000011,196.0353815840031,4410.79608564007,4.41079608564007,1845.0,0.37272727272727274,42120.0,506.25,3.157000421150113
112,H29525,H,298.7,308.6,1499.0,43.5,84,0,0,0,0,0,0,9.900000000000034,156.97491292437,6828.408712210095,6.828408712210095,3654.0,0.38181818181818183,65206.5,1892.25,3.7954891891721947
113,M14972,M,298.8,308.7,1498.0,39.5,89,0,0,0,0,0,0,9.899999999999977,156.87019316925034,6196.3726301853885,6.1963726301853885,3515.5,0.40454545454545454,59171.0,1560.25,3.7013019741124933
114,M14973,M,298.8,308.6,1486.0,41.9,92,0,0,0,0,0,0,9.800000000000011,155.61355610781442,6520.208000917424,6.520208000917425,3854.7999999999997,0.41818181818181815,62263.4,1755.61,3.758871825933971
115,L47294,L,298.8,308.6,1680.0,29.4,95,0,0,0,0,0,0,9.800000000000011,175.92918860102841,5172.318144870235,5.172318144870236,2793.0,0.4318181818181818,49392.0,864.3599999999999,3.414442608412176
116,L47295,L,298.8,308.6,1431.0,45.7,97,0,0,0,0,0,0,9.800000000000011,149.85396957623314,6848.326409633855,6.848326409633855,4432.900000000001,0.4409090909090909,65396.700000000004,2088.4900000000002,3.8437441646748516
117,L47296,L,298.9,308.7,1564.0,34.1,99,0,0,0,0,0,0,9.800000000000011,163.7816970071479,5584.955867943743,5.584955867943743,3375.9,0.45,53332.4,1162.8100000000002,3.55820113047182
118,L47297,L,298.8,308.6,1599.0,33.0,101,0,0,0,0,0,0,9.800000000000011,167.44688843633597,5525.747318399087,5.525747318399087,3333.0,0.4590909090909091,52767.0,1089.0,3.5263605246161616
119,M14978,M,298.8,308.6,1707.0,28.1,103,0,0,0,0,0,0,9.800000000000011,178.75662198925923,5023.0610778981845,5.023061077898184,2894.3,0.4681818181818182,47966.700000000004,789.6100000000001,3.370738174177447
120,L47299,L,298.7,308.5,1467.0,40.7,106,0,0,0,0,0,0,9.800000000000011,153.62388076054089,6252.491946954015,6.252491946954015,4314.200000000001,0.4818181818181818,59706.9,1656.4900000000002,3.7305011288047556
121,L47300,L,298.9,308.7,1433.0,44.7,108,0,0,0,0,0,0,9.800000000000011,150.06340908647243,6707.834386165318,6.7078343861653185,4827.6,0.4909090909090909,64055.100000000006,1998.0900000000001,3.822098297900159
122,L47301,L,298.9,308.7,1558.0,41.2,110,0,0,0,0,0,0,9.800000000000011,163.15337847642994,6721.919193228914,6.721919193228914,4532.0,0.5,64189.600000000006,1697.4400000000003,3.742420221041966
123,L47302,L,299.0,308.8,1310.0,50.7,112,0,0,0,0,0,0,9.800000000000011,137.1828792067543,6955.171975782444,6.955171975782444,5678.400000000001,0.509090909090909,66417.0,2570.4900000000002,3.9454577815143836
124,L47303,L,298.9,308.7,1546.0,43.4,114,0,0,0,0,0,0,9.800000000000011,161.89674141499398,7026.318577410739,7.026318577410739,4947.599999999999,0.5181818181818182,67096.4,1883.56,3.793239469438179
125,L47304,L,298.9,308.7,1727.0,29.4,116,0,0,0,0,0,0,9.800000000000011,180.85101709165244,5317.019902494581,5.3170199024945815,3410.3999999999996,0.5272727272727272,50773.799999999996,864.3599999999999,3.414442608412176
126,L47305,L,298.9,308.6,1560.0,32.2,118,0,0,0,0,0,0,9.700000000000045,163.36281798666923,5260.28273917075,5.26028273917075,3799.6000000000004,0.5363636363636364,50232.00000000001,1036.8400000000001,3.502549875922443
127,L47306,L,299.0,308.6,1329.0,60.5,120,0,0,0,0,0,0,9.600000000000023,139.17255455402784,8419.939550518684,8.419939550518684,7260.0,0.5454545454545454,80404.5,3660.25,4.119037174812473
128,L47307,L,298.9,308.6,1413.0,46.5,122,0,0,0,0,0,0,9.700000000000045,147.96901398407925,6880.559150259685,6.8805591502596855,5673.0,0.5545454545454546,65704.5,2162.25,3.8607297110405954
129,L47308,L,299.0,308.6,1587.0,38.6,124,0,0,0,0,0,0,9.600000000000023,166.19025137490004,6414.9437030711415,6.414943703071142,4786.400000000001,0.5636363636363636,61258.200000000004,1489.96,3.6788291182604347
130,L47309,L,298.9,308.5,1559.0,34.3,126,0,0,0,0,0,0,9.600000000000023,163.25809823154958,5599.75276934215,5.59975276934215,4321.799999999999,0.5727272727272728,53473.7,1176.4899999999998,3.563882963939251
